"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Arizona ash. velvet ash","Fraxinus velutina","Phoenix","Arizona",20.5,21.6,"naturally_occurring","more than 18.29 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",25.441108,2.9,"introduced","0 to 4.57 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",21.262173,3.74,"introduced","0 to 4.57 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",19.57013,4.8,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",20.620136,454,"introduced","more than 18.29 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",13.341664,3.99,"introduced","0 to 4.57 m","0 to 15.24 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweet orange","Citrus sinensis","Phoenix","Arizona",22.395759,4.88,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"African sumac","Searsia lancea","Phoenix","Arizona",25.561299,6.44,"introduced","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"African sumac","Searsia lancea","Phoenix","Arizona",33.571863,7.55,"introduced","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleppo pine","Pinus halepensis","Phoenix","Arizona",60.6,18.6,"introduced","more than 18.29 m","45.72 to 60.96 cm","Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
