"common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","percent_population"
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callery pear","Pyrus calleryana","Nashville","Tennessee",-86.7739057,36.1585828,"314 3rd Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7749332,36.1599632,"3rd Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7749332,36.1599632,"3rd Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7749332,36.1599632,"3rd Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green ash","Fraxinus pennsylvanica","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawn redwood","Metasequoia glyptostroboides","Nashville","Tennessee",-86.7839574,36.153515,"10 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European hornbeam","Carpinus betulus","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japanese zelkova","Zelkova serrata","Nashville","Tennessee",-86.7777341,36.1618637,"4th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
