"city_ID","planted_date","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","zipcode","address","neighborhood","location_name","diameter_breast_height_CM","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","retired_date","location_type","ward","district","overhead_utility","percent_population"
2940415,"2019to2020","03/05/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.89854375,36.00383891,27701,NA,"Downtown",NA,2.54,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749043,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.8834466,35.988269,27703,"1503 Morning Glory Ave","Old east durham",NA,2.54,"fair",26.24672,"naturally_occurring","more than 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2305543,NA,"03/30/2020","edit_date","Georgia oak","Quercus georgiana","Durham","North Carolina",-78.92366397,36.01728334,27705,"2047 W Club Blvd",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2829412,NA,"03/30/2020","edit_date","Georgia oak","Quercus georgiana","Durham","North Carolina",-78.92356709,36.01728567,27705,"2043 W Club Blvd",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852394,NA,"03/30/2020","edit_date","Callery pear","Pyrus calleryana","Durham","North Carolina",-78.90150189,36.01816972,27701,"1605 Dexter St",NA,NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2250408,NA,"03/30/2020","edit_date","Georgia oak","Quercus georgiana","Durham","North Carolina",-78.92289922,36.01726506,27705,"2021 W Club Blvd",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2896018,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.91110688,36.00380338,27701,"304 Watts St","Walltown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2909942,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.86832844,35.99716583,27703,"1114 Fiske St",NA,NA,33.02,"good",NA,"naturally_occurring",NA,"30.48 to 45.72 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2829433,NA,"03/30/2020","edit_date","Georgia oak","Quercus georgiana","Durham","North Carolina",-78.92115578,36.01719455,27705,"1909 W Club Blvd",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2940416,"2019to2020","03/05/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.89842238,36.00384108,27701,NA,"Downtown",NA,2.54,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852416,NA,"03/30/2020","edit_date","Sweetgum","Liquidambar styraciflua","Durham","North Carolina",-78.90285995,36.0162035,27701,"1518 Ruffin St",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2305538,NA,"03/30/2020","edit_date","Georgia oak","Quercus georgiana","Durham","North Carolina",-78.92269403,36.01725312,27705,"2015 W Club Blvd",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2896017,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.91110688,36.00387824,27701,"304 Watts St","Walltown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852450,NA,"03/30/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.89936455,36.01378231,27701,"500ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â508 Everett Pl",NA,NA,12.7,"fair",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852455,NA,"03/30/2020","edit_date","Cherry","Prunus","Durham","North Carolina",-78.89935747,36.01367015,27701,"503 Everett Pl",NA,NA,12.7,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304331,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.93344969,36.01767292,27705,"2471 W Club Blvd",NA,NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2837734,NA,"03/30/2020","edit_date","Mulberry","Morus","Durham","North Carolina",-78.92026209,35.9876104,27707,"1212 Kent St","Lyon park",NA,12.7,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
