"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
16898,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.8946375,33.7694505,"13461 Marty Ln",2,60.96,328.084,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16903,"California sycamore","Platanus racemosa","Garden Grove","California",-117.8982901,33.77434386,"13462 Garden Grove Blvd",1,60.96,147.6378,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16904,"London plane","Platanus acerifolia","Garden Grove","California",-117.8984438,33.77434062,"13462 Garden Grove Blvd",1,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16905,"Brazilian pepper","Schinus terebinthifolius","Garden Grove","California",-117.9674758,33.76723121,"13462 Gilbert St",12,60.96,147.6378,"no_info","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16913,"London plane","Platanus acerifolia","Garden Grove","California",-117.8977383,33.7743488,"13466 Garden Grove Blvd",1,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16914,"Brazilian pepper","Schinus terebinthifolius","Garden Grove","California",-117.9674724,33.76703457,"13466 Gilbert St",12,60.96,147.6378,"no_info","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16915,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9362582,33.76708355,"13471 Ashwood St",9,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16916,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9362368,33.76709266,"13471 Ashwood St",9,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16917,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9888672,33.76660877,"13471 Balos Dr",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16918,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9887421,33.76661204,"13471 Balos Dr",12,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
